127.0.0.1 - - [21/May/2025:17:03:38 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/May/2025:17:03:39 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [21/May/2025:17:03:39 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:03:39 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/May/2025:17:03:39 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [21/May/2025:17:03:40 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/May/2025:17:23:54 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [21/May/2025:17:23:54 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:23:54 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/May/2025:17:23:55 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [21/May/2025:17:25:55 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [21/May/2025:17:25:55 +0900] "GET /TripFul/image/seoul.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:25:55 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:25:56 +0900] "GET /TripFul/image/jeju.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/May/2025:17:25:56 +0900] "GET /TripFul/image/busan.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:25:56 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/May/2025:17:25:56 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [21/May/2025:17:28:53 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [21/May/2025:17:28:53 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:28:53 +0900] "GET /TripFul/image/seoul.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:28:53 +0900] "GET /TripFul/image/busan.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:28:53 +0900] "GET /TripFul/image/jeju.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/May/2025:17:28:53 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/May/2025:17:28:54 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [21/May/2025:17:29:17 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [21/May/2025:17:29:17 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:29:17 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/May/2025:17:29:18 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 8303
0:0:0:0:0:0:0:1 - - [21/May/2025:17:31:05 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [21/May/2025:17:31:05 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:31:05 +0900] "GET /TripFul/image/seoul.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:31:05 +0900] "GET /TripFul/image/jeju.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/May/2025:17:31:05 +0900] "GET /TripFul/image/busan.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:31:05 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
